TEAM,PLACE M,KILL M,RANK
4AM,6,3.5,1
TSG,5,4.5,2
SQ,5.25,3.25,3
TSM,5.5,2.5,4
GEX,4.5,2.25,5
ZEN,4.5,1.75,6
T1,4.25,2,7
E36,3,2.5,8
DAY,3.25,1.75,9
K7,3.25,1.75,10
AF,3.5,1.25,11
FUR,3,1.5,12
DGW,2.25,1.75,13
META,2.75,1,14
NAVI,2.25,0.75,15
BRU,1.25,0,16
KIA,4,6.5,1
TIAN,1.75,7.5,2
LGD,3.25,5.5,3
GEN,3.5,5,4
PERO,2,5.75,5
VP,3.5,3.25,6
ENCE,2.5,3.75,7
STK,1.5,4.25,8
FAZE,1.75,3.75,9
DA,2,3.25,10
TL,1.5,2.25,11
IFTY,1.25,2.25,12
MCG,1.5,2,13
AAA,1.25,1.25,14
DXG,0.5,1.5,15
OATH,0.25,1,16
KIA,4.5,7.25,1
T1,4.75,6.75,2
K7,3.5,4.75,3
TL,3.75,4,4
AAA,1.5,4,5
DXG,1.5,3.25,6
TIAN,2,2.75,7
ENCE,2.75,2,8
LGD,0.5,4,9
4AM,1.25,3.25,10
TSM,1.25,3.25,11
NAVI,1.25,3,12
ZEN,1.5,2.5,13
DAY,0,3.5,14
TSG,1.5,1.75,15
VP,0.5,2,16
DA,5,7.5,1
IFTY,3.5,7,2
STK,4,6.25,3
SQ,3.5,5.75,4
BRU,3.5,4.75,5
OATH,2.75,4.25,6
FUR,1.25,3.25,7
DGW,1.75,2.5,8
PERO,1.75,2,9
GEN,1,2.5,10
GEX,1.25,2.25,11
E36,1.25,2,12
MCG,0,3,13
FAZE,1.25,1.75,14
META,0.25,2.25,15
AF,0,1.25,16
SQ,4.75,7,1
VP,4.25,6,2
TIAN,3.25,6,3
AF,2,6,4
FUR,2.5,4.5,5
LGD,2.5,4,6
BRU,3.25,3.25,7
KIA,2.75,3,8
TL,1,4,9
META,2,2.5,10
E36,0.25,3.25,11
DXG,0.75,2.75,12
DGW,0.75,2.5,13
AAA,1.75,1.5,14
ENCE,0,2.25,15
GEX,0.25,0.5,16
NAVI,4.5,8.25,1
STK,3.75,7.25,2
OATH,3.75,6.5,3
4AM,2.75,6.5,4
IFTY,3.75,4.5,5
GEN,2.25,3.25,6
FAZE,1.75,3,7
TSM,1.75,2.75,8
T1,1,3.25,9
ZEN,1,3.25,10
DAY,1.5,1.5,11
PERO,0.75,2,12
MCG,1,1.5,13
DA,1.5,1,14
K7,0.75,1.5,15
TSG,0.25,1.75,16
SQ,2,3.5,11
KIA,3.25,4.375,3
STK,2.4,5.3,2
TIAN,1.75,3.875,9
4AM,1.9,5.2,3
IFTY,2.2,4.6,4
T1,1.375,2.5,13
DA,1.625,2,16
NAVI,0.1,1,16
LGDV,1.125,2.5,15
VP,1.9,4.4,7
OATH,2.2,3.5,9
GEN,2.6,3.9,6
TSM,1.5,2.9,14
TL,2.1,4.5,5
FUR,2.3,3.3,10
BRU,2.125,4.625,5
K7,1.5,2.5,15
TSG,2.3,3,12
ZEN,1.75,4.875,7
PERO,0.875,5.375,8
AF,3.2,5,1
FAZE,2.5,3.3,8
ENCE,3.375,4.375,2
E36,3.125,2.25,10
DAY,2.375,4.375,6
DGW,3.5,4.75,1
AAA,1.3,3.1,13
GEX,1,2.625,14
META,0.25,3.875,12
DXG,1.25,3.25,11
MCG,3.25,4.125,4
SQ,4.25,3.5,4
KIA,1.375,2,13
STK,2.3,4.2,6
TIAN,1.875,2.75,10
4AM,3.2,5.3,1
IFTY,3.2,4.6,2
T1,2.5,5.375,3
DA,3.375,3.5,6
NAVI,1.875,3.875,9
LGDV,1.375,3.125,11
VP,2.1,3,9
OATH,1.5,2.9,12
GEN,2.8,4.4,3
TSM,4.25,4.125,2
TL,1.9,4.1,7
FUR,0.75,2.25,15
BRU,0.6,5.1,8
K7,1.5,2.875,12
TSG,1.5,3.3,10
ZEN,1.8,2.5,14
PERO,2.25,4.25,7
AF,1.6,3.2,11
FAZE,2.625,4.875,5
ENCE,2.7,4.4,4
E36,0.875,2.375,14
DAY,3.6,3.3,5
DGW,1,1.75,16
AAA,1.2,3.1,13
GEX,1.1,2.8,16
META,3.375,5.125,1
DXG,1.75,4.25,8
MCG,0.9,3,15
SQ,2.125,4.5,4
KIA,2.625,5,3
STK,1.4,5.9,4
TIAN,1.1,3.2,11
4AM,2.25,3.375,7
IFTY,2.125,3.5,6
T1,1.6,2.6,12
DA,3.5,2.5,10
NAVI,0.5,1.7,15
LGDV,0.5,1.5,16
VP,3.1,5.6,2
OATH,2.9,4.2,6
GEN,3.1,4.7,3
TSM,2.25,2.5,11
TL,2.8,3.4,8
FUR,1.875,4.25,5
BRU,0.875,2,15
K7,1.375,3.625,8
TSG,1.1,2.6,14
ZEN,1.2,2.6,13
PERO,2.625,6.125,2
AF,2.3,3.4,9
FAZE,4.7,4.9,1
ENCE,2.5,4.4,7
E36,0.875,2.375,14
DAY,1.5,3,10
DGW,1.75,2.75,12
AAA,0.125,2.375,16
GEX,1.875,2.625,13
META,5.125,8.625,1
DXG,1.875,2.875,9
MCG,1.6,5.6,5
SQ,2.7,3.5,7
KIA,2.375,6,2
STK,5.25,7.625,1
TIAN,2,3.3,10
4AM,1.625,3.25,10
IFTY,1.2,5,6
T1,2.3,3.1,9
DA,3.6,4,2
NAVI,1,1.8,16
LGDV,2.25,3.875,5
VP,1.5,3.25,12
OATH,1.9,3.8,8
GEN,0.8,2.2,15
TSM,0.75,4,11
TL,1.9,3.2,13
FUR,1.875,3.75,7
BRU,2,4.625,4
K7,0.625,2.5,14
TSG,1,1.875,16
ZEN,3.2,5.4,1
PERO,1.7,2.8,14
AF,1.8,3.4,11
FAZE,3.5,4,3
ENCE,1,4.1,12
E36,2.625,2.875,8
DAY,2.7,4.1,4
DGW,2.375,2.625,9
AAA,1.125,2.5,13
GEX,0.875,2.25,15
META,2.3,4,5
DXG,2.25,3.5,6
MCG,1.9,5.6,3
SQ,2,4.6,7
KIA,1.75,2.375,13
STK,2.375,5,4
TIAN,2.8,4.1,5
4AM,2.25,4.125,6
IFTY,2,5,3
T1,1.3,3.8,11
DA,2.8,4.1,4
NAVI,1.4,3.6,12
LGDV,1.25,3.25,11
VP,2.9,3.3,10
OATH,0.3,1.7,16
GEN,3.1,4.5,1
TSM,1.375,3,12
TL,2.125,3.25,8
FUR,1.625,3.25,10
BRU,3.375,4.875,3
K7,0.5,2.375,15
TSG,2.625,4.75,5
ZEN,2.5,6.625,1
PERO,2.7,3.5,9
AF,0.6,1.9,15
FAZE,3.875,5,2
ENCE,1.625,3.5,9
E36,0.7,2.3,14
DAY,1.2,3.5,13
DGW,2.5,3.625,7
AAA,1.75,1.75,14
GEX,0.625,2.25,16
META,2.7,4.6,2
DXG,2.8,4,6
MCG,2.7,3.6,8
SQ,3.4,5.6,1
ZEN,2.4,5.5,2
MCG,3.9,4,3
4AM,2.5,5.2,4
STK,2.8,4.7,5
IFTY,2.6,4.2,6
T1,2.6,3.5,7
FAZE,2.2,3.4,8
TL,2.3,3.2,9
BRU,1.3,4.1,10
GEN,1.2,4.1,11
OATH,1.1,2.9,12
DXG,1.6,2.2,13
AF,1,2.6,14
TIAN,0.9,2.4,15
DAY,0.2,1.7,16
STK,3.708333333,6.916666667,1
SF,2.916666667,4.958333333,2
SQ,2.5,4.625,3
300,2.583333333,4.5,4
DNY,2.625,4.375,5
OATH,2.875,3.916666667,6
ZEN,1.75,4.541666667,7
22,2.25,4.041666667,8
GAS,2.25,3.416666667,9
ENR,1.791666667,2.833333333,10
YK,1.625,2.625,11
DGE,1.125,3.083333333,12
CREX,1.291666667,2.875,13
IN,1.291666667,2.541666667,14
OLD,0.8333333333,2.208333333,15
303,0.5833333333,2.083333333,16
BLZ,3.583333333,6.916666667,1
WLA,3.833333333,5.083333333,2
SKD,2.333333333,4.833333333,3
EIQ,2.75,4.416666667,4
0RG,2.25,4.166666667,5
KGE,1.583333333,4.333333333,6
NF,1.416666667,3.833333333,7
APKS,2.75,2.5,8
BSTN,1.416666667,3.416666667,9
NOM,1.916666667,2.916666667,10
RAW,1.666666667,3.083333333,11
TRL,1.5,3.166666667,12
NXS,1.166666667,3.333333333,13
YKS,1.833333333,2.666666667,14
IW,0.9166666667,3,15
HERO,1,2.666666667,16
SKD,4.3,6.8,1
ENCE,2.7,5.6,2
WLA,1.8,6.1,3
HERO,3,4.1,4
WT,3.2,3.2,5
APKS,2,4.3,6
BSTN,2.5,3.8,7
TL,2.6,3.6,8
IW,1.9,4.2,9
DA,2.4,3,10
NXS,1.2,3.3,11
YKS,1.3,3.1,12
RAW,1.3,2.4,13
NF,0.9,2.7,14
LC,0.8,2,15
TRL,0.1,0.9,16
HERO,2.5,5,1
ENCE,2.666666667,4.722222222,2
TL,2.722222222,4.388888889,3
FAZE,2.111111111,4.777777778,4
VP,2.777777778,4.055555556,5
NAVI,2,4.611111111,6
APKS,2.166666667,4.444444444,7
SKD,2.666666667,3.388888889,8
WLA,1.555555556,4,9
KGE,1.611111111,3.555555556,10
WT,2.166666667,2.888888889,11
BSTN,2.333333333,2.722222222,12
EIQ,0.4444444444,3.722222222,13
BLZ,1.666666667,2.5,14
0RG,2,2.055555556,15
NOM,0.6111111111,2.5,16